No.,ID,Name,URL,Address,State,Contact details 1,Contact details 2,Contact details 3,Contact details 4,Contact details 5,Contact details 6,Contact details 7,Good/BAD
45,101503,Holmes Guns,https://www.henryusa.com/dealer-location/holmes-guns/,"49133 HWY 22Wadley, AL 36276",Alabama,William Holmes,256-395-4500,Empty field,http://[email protected],Empty field,Empty field,Empty field,
46,92174,Hoover Tactical Firearms Llc,https://www.henryusa.com/dealer-location/hoover-tactical-firearms-llc/,"1561 Montgomery HWYHoover, AL 35216",Alabama,Empty field,205-822-3600,kerry.htf@gmail.com,Empty field,Empty field,Empty field,Empty field,
47,92183,Hudson Pawn & Gun Shop Inc,https://www.henryusa.com/dealer-location/hudson-pawn-gun-shop-inc/,"1308 1St St NJasper, AL 35503",Alabama,Empty field,205-221-7020,Empty field,Empty field,Empty field,Empty field,Empty field,
48,92108,J & M Trading Post,https://www.henryusa.com/dealer-location/j-m-trading-post/,"44890 Hwy 17 NPO BOX 1375Vernon, AL 35592",Alabama,Empty field,205-695-7574,jm_trading1985@yahoo.com,Empty field,Empty field,Empty field,Empty field,
49,92191,Kenny’s Gun Room,https://www.henryusa.com/dealer-location/kennys-gun-room/,"24812A COWPEN CREEK ROADROBERTSDALE, AL 36567",Alabama,Kenny Langley,251-895-4745,KennysGunRoom@gmail.com,Empty field,Empty field,Empty field,Empty field,
50,92095,"King’s Pawn & Jewelry Co, Inc.",https://www.henryusa.com/dealer-location/kings-pawn-jewelry-co-inc/,"23 North Broadway AvenueSylacauga, AL 35150",Alabama,Angela King,256-245-6727,kpawn@bellsouth.net,https://www.facebook.com/kingspawnandjewelry/,256-245-7039,Empty field,Empty field,
51,92082,Larry’s General Merchandise,https://www.henryusa.com/dealer-location/larrys-general-merchandise/,"3121 Hillabee RoadAlexander City, AL 35010",Alabama,Empty field,256-234-4849,Empty field,Empty field,256-234-4849,Empty field,Empty field,
52,92114,Larry’s Jewelry & Pawn,https://www.henryusa.com/dealer-location/larrys-jewelry-pawn/,"122 W Mobile StreetFlorence, AL 35630",Alabama,Rosemary Hipps,256-767-1379,larrysjp@comcast.net,Empty field,Empty field,Empty field,Empty field,
53,92126,Larry’s Pistol & Pawn,https://www.henryusa.com/dealer-location/larryspistol-pawn/,"2405 N Memorial ParkwayHuntsville, AL 35810",Alabama,Larry Barnett,256-534-1000,larry@pistolandpawn.com,http://www.pistolandpawn.com/wp/,256-533-2222,Empty field,Empty field,
54,109439,"Linden Ace Hardware, Llc",https://www.henryusa.com/dealer-location/linden-ace-hardware-llc/,"1137 South Shiloh StreetLinden, AL 36748",Alabama,Roy Etheridge,334-295-5911,lindenacehardware@gmail.com,http://www.lindenace.com,334-295-1967,Empty field,Empty field,
55,101742,Lt. Dan’s Pawn,https://www.henryusa.com/dealer-location/lt-dans-pawn/,"1713 Winchester RoadSte B.Huntsville, AL 35811",Alabama,Daniel Freda,256-929-4920,dpfreda206@yahoo.com,http://www.ltdanspawnshop.com,Empty field,Empty field,Empty field,
56,92106,Marks Outdoor Sports,https://www.henryusa.com/dealer-location/marks-outdoor-sports/,"1400-B Montgomery HWYBirmingham, AL 35216",Alabama,Empty field,205-822-2010,guns@marksoutdoors.com,Empty field,Empty field,Empty field,Empty field,
57,92090,Mary Carter Paint,https://www.henryusa.com/dealer-location/mary-carter-paint/,"104 4th ST SECullman, AL 35055",Alabama,Empty field,256-734-7908,fb@marycarter.com,https://www.facebook.com/marycarterstore,Empty field,Empty field,Empty field,
58,92121,"Mccoy Outdoor Co, The",https://www.henryusa.com/dealer-location/mccoy-outdoor-co-the/,"3498 Springhill AveMobile, AL 36608",Alabama,Empty field,251-432-3006,wesley@mccoyoutsoorco.com,Empty field,Empty field,Empty field,Empty field,
59,92162,McIntyres Gun Service,https://www.henryusa.com/dealer-location/mcintyres-gun-service/,"4067 Allen Walker RoadGrove Hill, AL 36451",Alabama,Empty field,251-246-5846,waynemcintyre@earthlink.net,Empty field,Empty field,Empty field,Empty field,
60,92089,Michael’s Jewlery and Pawn,https://www.henryusa.com/dealer-location/michaels-jewlery-and-pawn/,"205 W College St # BColumbiana, AL 35051",Alabama,Lesa Palmer,205-669-1066,tascott5504@gmail.com,https://www.facebook.com/Michaels-Jewelry-Pawn-166398170052882/,205-669-7684,Empty field,Empty field,
61,92137,Mid City Jewelry & Loan Co,https://www.henryusa.com/dealer-location/mid-city-jewelry-loan-co/,"1029-A 6Th Ave SeDecatur, AL 35601",Alabama,Empty field,256-355-6289,howardgodbee@yahoo.com,http://www.midcityjewelry.com,Empty field,Empty field,Empty field,
62,92148,Mike’s Treasure Chest,https://www.henryusa.com/dealer-location/mikes-treasure-chest/,"117 East 17th StreetAnniston, AL 36201",Alabama,Empty field,256-236-3737,pawnking8@aol.com,Empty field,256-235-2093,Empty field,Empty field,
63,92163,Mitchs A & M Pawn Shop,https://www.henryusa.com/dealer-location/mitchs-a-m-pawn-shop/,"1345 South Alabama AveMonroeville, AL 36460",Alabama,Empty field,251-575-2756,mpmahud@frontiernet.net,Empty field,Empty field,Empty field,Empty field,
64,92176,"Mobile Shooting Center, Inc.",https://www.henryusa.com/dealer-location/mobile-shooting-center-inc/,"9170 C Airport BlvdMobile, AL 36608",Alabama,Empty field,251-633-8629,Empty field,http://[email protected],Empty field,Empty field,Empty field,
65,92127,Mr. Big Guns,https://www.henryusa.com/dealer-location/jcs-guns-tackle-shop-inc/,"1650 Jordan LN NWHuntsville, AL 35816",Alabama,Matt McDoel,256-830-0761,Empty field,Empty field,Empty field,Empty field,Empty field,
66,92143,Mulberry Gun & Pawn,https://www.henryusa.com/dealer-location/mulberry-gun-pawn/,"686 Stableway RdPike Road, AL 36064",Alabama,Empty field,334-265-2506,aluncle@aol.com,Empty field,Empty field,Empty field,Empty field,
67,112293,Mvp Firearms,https://www.henryusa.com/dealer-location/mvp-firearms/,"1810 Decatur HwySuite 108Fultondale, AL 35068",Alabama,Kyle Moore,205-834-8426,mvpfirearms22@gmail.com,Empty field,Empty field,Empty field,Empty field,
68,92161,Newby’s Pawn & Gun,https://www.henryusa.com/dealer-location/newbys-pawn-gun/,"620 Douglas Ave.Brewton, AL 36426",Alabama,Empty field,251-867-6754,kristimiller81@hotmail.com,Empty field,Empty field,Empty field,Empty field,
69,92181,Newmans Farm Supply Inc,https://www.henryusa.com/dealer-location/newmans-farm-supply-inc/,"1 Lafayette St SLafayette, AL 36862",Alabama,Empty field,334-864-7006,newmansfarmsupply@att.net,Empty field,Empty field,Empty field,Empty field,
70,105804,Oliver’s Firearms,https://www.henryusa.com/dealer-location/olivers-firearms/,"1476 County Road 4405Banks, AL 36005",Alabama,Dawn Oliver,334-905-0140,oliversfirearms@gmail.com,http://oliversfirearms.com,334-905-0141,Empty field,Empty field,
71,92079,Outlaw Gun & Pawn,https://www.henryusa.com/dealer-location/outlaw-gun-and-pawn/,"13088 Highway 78 EastJasper, AL 35501",Alabama,Michael Palmer,205-265-3048,outlawgunandpawn@gmail.com,Empty field,Empty field,Empty field,Empty field,
72,92103,Pat’s Archery & Outdoors,https://www.henryusa.com/dealer-location/pats-archery-outdoors/,"306 Highway 78 WestJasper, AL 35501",Alabama,Empty field,205-387-7678,hunt@patsarchery.com,Empty field,205-387-9909,Empty field,Empty field,
73,92111,Patriot Gun Sales,https://www.henryusa.com/dealer-location/patriot-gun-sales/,"3079 Wetumpka HwyMontgomery, AL 36110",Alabama,Empty field,334-819-8110,Empty field,Empty field,Empty field,Empty field,Empty field,
74,109125,Patriots,https://www.henryusa.com/dealer-location/patriots/,"707 Riverfalls StreetAndalusia, AL 36420",Alabama,Charles Nelson,260-222-0103,Patriots1776_2a@yahoo.com,https://www.facebook.com/profile.php?id=100072266050008,Empty field,Empty field,Empty field,
75,92182,Pawn Central,https://www.henryusa.com/dealer-location/pawn-central/,"1622 Pepperell PkwyAttn JW BrooksOpelika, AL 36801",Alabama,Empty field,334-749-7296,Empty field,Empty field,Empty field,Empty field,Empty field,
76,92131,Pawn Daddy,https://www.henryusa.com/dealer-location/pawn-daddy/,"1694 S. Wilson Dam Rd.Muscle Shoals, AL 35661",Alabama,Empty field,256-320-5515,br@pawndaddy.net,Empty field,Empty field,Empty field,Empty field,
77,92154,Pawn Express,https://www.henryusa.com/dealer-location/pawn-express/,"621 Boll Weevil Cir Suite 1AEnterprise, AL 36330",Alabama,Empty field,334-393-7296,Chess36330@yahoo.com,Empty field,Empty field,Empty field,Empty field,
78,98472,Pine City Gun & Pawn,https://www.henryusa.com/dealer-location/pine-city-gun-pawn/,"4545 N College AvenueJackson, AL 36545",Alabama,Shane Sturdivant,251-246-7798,pcgbrands@gmail.com,https://www.pinecitygun.com/,Empty field,Empty field,Empty field,
79,92094,Pleasant Grove Gun Supply,https://www.henryusa.com/dealer-location/pleasant-grove-gun-supply/,"839 Park Rd.Pleasant Grove, AL 35127",Alabama,Empty field,205-744-4157,pggunsupply@gmail.com,Empty field,205-744-0002,Empty field,Empty field,
80,92093,Pops Armory,https://www.henryusa.com/dealer-location/pops-armory/,"405 CR 52Jemison, AL 35085",Alabama,Glenn Pencoe,205-646-1486,glenn@popsarmory.com,http://popsarmory.com/,Empty field,Empty field,Empty field,
81,108043,Premier Pawn and Pistol Llc,https://www.henryusa.com/dealer-location/premier-pawn-and-pistol-llc/,"24884 Hwy 31 NJemison, AL 35085",Alabama,Mark Underwood,205-688-1889,pawnandpistol@gmail.com,Empty field,Empty field,Empty field,Empty field,
82,92132,Quality Guns,https://www.henryusa.com/dealer-location/quality-guns/,"102 5th Ave NEAttalla, AL 35954",Alabama,Empty field,256-538-1308,eric@qualityguns.comcastbiz.net,Empty field,Empty field,Empty field,Empty field,
83,92097,"Quints Hardware, Inc.",https://www.henryusa.com/dealer-location/quints-hardware-inc/,"1406 Industrial ParkwaySaraland, AL 36571",Alabama,Empty field,251-679-1300,Empty field,Empty field,Empty field,Empty field,Empty field,
84,116617,Redland Rifle Company,https://www.henryusa.com/dealer-location/redland-rifle-company/,"4755 US 280Birmingham, AL 35242",Alabama,James Deer or Michael Michel,205-797-1911,sales@redlandrifle.com,https://www.redlandrifle.com/,Empty field,Empty field,Empty field,
85,92184,Reynold’s Outdoors,https://www.henryusa.com/dealer-location/storys-inc/,"904 Geneva StreetOpelika, AL 36803",Alabama,Tyler,334-745-7642,tyler@reynoldsoutdoors.net,https://www.reynoldsoutdoors.net/,334-745-4169,Empty field,Empty field,
86,92080,Rural King – Muscle Shoals,https://www.henryusa.com/dealer-location/rural-king/,"3401 Woodward Ave.Muscle Shoals, AL 35661",Alabama,Empty field,256-389-2794,customerservice@rkguns.com,Empty field,Empty field,Empty field,Empty field,
87,98473,Safford Hardware,https://www.henryusa.com/dealer-location/safford-hardware/,"22470 Alabama Highway 22 WSafford, AL 36773",Alabama,Craig,877-872-2417,cprice@saffordtrading.com,Empty field,Empty field,Empty field,Empty field,
88,92125,Scottsboro Pawn Shop,https://www.henryusa.com/dealer-location/scottsboro-pawn-shop/,"115 North Broad StreetScottsboro, AL 35768",Alabama,Empty field,256-259-0693,Empty field,Empty field,Empty field,Empty field,Empty field,
89,118144,Shock Wave Gun & Pawn Llc,https://www.henryusa.com/dealer-location/shock-wave-gun-pawn/,"10497 Hwy 72Rogersville, AL 35652",Alabama,Wesley & Melanie Gibson,256-247-9936,Shockwavegunpawn@gmail.com,https://www.pulaskipawn.com/,Empty field,Empty field,Empty field,
90,92109,Shotglass Guns Inc,https://www.henryusa.com/dealer-location/shotglass-guns-inc/,"103 Taylor RdFlorence, AL 35633",Alabama,Empty field,256-349-5051,dan.fox54@hotmail.com,Empty field,Empty field,Empty field,Empty field,
91,92149,Shotgun Sports Supplies,https://www.henryusa.com/dealer-location/shotgun-sports-supplies/,"1414-A HWY 431 NAnniston, AL 36206",Alabama,Empty field,256-235-2780,rpatty4106@aol.com,Empty field,256-235-2784,Empty field,Empty field,
92,92085,Simmons Sporting Goods – Bessemer,https://www.henryusa.com/dealer-location/simmons-sporting-goods/,"2001 2nd Avenue NorthBessemer, AL 35020",Alabama,Clay,205-425-4720,clay@ssg.bz,https://www.simmonssportinggoods.com/,205-425-4740,Empty field,Empty field,
93,92120,Sonny’s Pawn & Gun Shop,https://www.henryusa.com/dealer-location/sonnys-pawn-gun-shop/,"200 North Montgomery AvenueSheffield, AL 35660",Alabama,Empty field,256-381-8404,sales@sonnyspawnandgunshop.com,Empty field,256-381-8404,Empty field,Empty field,
94,112185,"Southeast Sales, Inc",https://www.henryusa.com/dealer-location/southeast-sales-inc/,"302 5th Ave SWRed Bay, AL 35582",Alabama,Don Ross,256-376-2003,Empty field,http://www.southeastsalesinc.com/,Empty field,Empty field,Empty field,
95,92153,Southern Outdoor Sports,https://www.henryusa.com/dealer-location/southern-outdoor-sports/,"2126 Hartford Hwy.Dothan, AL 36305",Alabama,Empty field,334-793-4590,colby@southernoutdoorsports.com,Empty field,334-793-5469,Empty field,Empty field,
96,109116,Stone Arms Inc,https://www.henryusa.com/dealer-location/stone-arms-inc/,"10160 A Airport Blvd.Mobile, AL 36608",Alabama,Jeff Stone,251-607-9534,stonearmsinc@gmail.com,https://stonearmsinc.com/cart/,Empty field,Empty field,Empty field,
97,92084,Styx River Shooting Center,https://www.henryusa.com/dealer-location/styx-river-shooting-center/,"24775 Water World RdRobertsdale, AL 36567",Alabama,Empty field,251-960-1173,Empty field,Empty field,Empty field,Empty field,Empty field,
98,97913,T&t Guns & Ammo Ii,https://www.henryusa.com/dealer-location/tt-guns-ammo-ii/,"8395 HWY 59Foley, AL 36535",Alabama,Justin Tull,251-943-9923,tandtguns@gmail.com,http://www.tandtguns.com,Empty field,Empty field,Empty field,
99,92105,The Custom Shop,https://www.henryusa.com/dealer-location/the-custom-shop/,"775 Hidden Acres WayHamilton, AL 35570",Alabama,Empty field,205-491-4300,dukesville1@hotmail.com,Empty field,Empty field,Empty field,Empty field,
100,92088,The Fishing Hole,https://www.henryusa.com/dealer-location/the-fishing-hole/,"2 Village SquareClanton, AL 35045",Alabama,Empty field,205-755-5542,thefishinghole49@att.net,Empty field,Empty field,Empty field,Empty field,
101,118305,The Gun Station,https://www.henryusa.com/dealer-location/goforth-firearms/,"63 Marietta RoadSpringville, AL 35146",Alabama,Harrison Goforth or Ronnie Aldrich,205-467-0111,sales@thegunstation.com,Empty field,Empty field,Empty field,Empty field,
102,92136,The Minnow Bucket,https://www.henryusa.com/dealer-location/the-minnow-bucket/,"2411 Highway 14PO Box 369Autaugaville, AL 36003",Alabama,Empty field,334-365-2023,jso90@juno.com,https://www.facebook.com/Kens-Wildlife-Images-357804867624697,Empty field,Empty field,Empty field,
103,110441,The Pawn Shop,https://www.henryusa.com/dealer-location/the-pawn-shop/,"1020 Woodward Ave.Muscle Shoals, AL 35661",Alabama,Curtis Nix,256-248-4792,pawn2us@gmail.com,http://www.pawn2us2day.com,Empty field,Empty field,Empty field,
104,92083,The Sure Shot,https://www.henryusa.com/dealer-location/the-sure-shot/,"3862 Highway 280Alexander City, AL 35010",Alabama,Woody Baird,256-329-0080,info@thesureshot.us,https://www.thesureshot.us/,256-329-0040,Empty field,Empty field,
105,92104,The Trading Post,https://www.henryusa.com/dealer-location/the-trading-post/,"2111 Bexar Avenue WestHamilton, AL 35570",Alabama,Empty field,205-921-4706,mbrown@watvc.com,Empty field,Empty field,Empty field,Empty field,
106,92159,Three Notch Pawn & Gun,https://www.henryusa.com/dealer-location/three-notch-pawn-gun/,"1517 - 1 East Three Notch StAndalusia, AL 36420",Alabama,Empty field,334-222-7566,Empty field,Empty field,Empty field,Empty field,Empty field,
107,92107,"Tri-State Guns & Ammo Sales, Llc",https://www.henryusa.com/dealer-location/tri-state-guns-ammo-sales-llc/,"706 Glover Ave.Enterprise, AL 36330",Alabama,Tim Gardner,334-379-9026,daddyisontheroad@yahoo.com,https://www.facebook.com/gunsandammoenterpriseal/,Empty field,Empty field,Empty field,
108,92186,Troy Sportshop,https://www.henryusa.com/dealer-location/troy-sportshop/,"700 US 231 SouthTroy, AL 36081",Alabama,Empty field,334-566-0022,Empty field,Empty field,Empty field,Empty field,Empty field,
109,92130,Tucker’s Guns & Ammo,https://www.henryusa.com/dealer-location/tuckers/,"660 Highway 67 SDecatur, AL 35603",Alabama,Chris Tucker,256-341-0164,tuckers775@yahoo.com,Empty field,256-350-2976,Empty field,Empty field,
